PLAYER,Dacc,DD,GIR,SGpp,SCR,R1,R2,R3,R4,TOT,SGttg,SGott,SGapr,SGarg
Ben Griffin,42.86,291.8,61.11,0.137,71.43,67,71,72,74,284,0.931,-0.778,0.271,1.438
Chesson Hadley,71.43,290.9,66.67,-0.21,66.67,71,73,72,69,285,1.028,0.5,0.526,0.003
Stephan Jaeger,58.93,290.5,68.06,-0.205,69.57,74,72,69,70,285,1.023,0.086,0.571,0.366
Sam Ryder,67.86,282.5,54.17,1.143,63.64,73,72,69,71,285,-0.325,0.713,-1.295,0.257
Brian Harman,73.21,281.8,61.11,0.464,64.29,73,71,70,71,285,0.355,1.121,-0.657,-0.109
Kramer Hickok,71.43,291.6,62.5,1.526,59.26,73,70,69,73,285,-0.707,0.574,-1.107,-0.174
Garrick Higgo,58.93,299,68.06,-0.491,52.17,70,73,68,74,285,1.309,0.314,0.494,0.502
Taylor Montgomery,50,282.5,52.78,2.069,64.71,70,73,66,76,285,-1.25,0.234,-1.058,-0.426
Tom Kim,80.36,288.5,63.89,-0.083,65.38,74,72,71,69,286,0.652,1.064,-0.09,-0.322
Lucas Glover,69.64,278.8,59.72,0.22,65.52,69,74,71,72,286,0.349,-0.027,-0.952,1.328
Cameron Young,51.79,299.4,59.72,0.046,58.62,71,73,68,74,286,0.522,0.43,0.323,-0.231
Ben Martin,62.5,281.8,59.72,0.035,62.07,71,74,72,70,287,0.284,0.511,-0.033,-0.194
Matthias Schwab,62.5,288.8,48.61,0.187,75.68,75,70,72,70,287,0.131,0.045,-0.114,0.2
Jerry Kelly,83.93,259.1,63.89,0.793,65.38,74,72,69,72,287,-0.475,-0.042,-0.018,-0.414
Gary Woodland,67.86,295.9,73.61,-1.743,47.37,72,70,71,74,287,2.061,0.854,0.996,0.211
Will Gordon,58.93,296.5,70.83,0.433,52.38,73,67,73,74,287,-0.114,-0.201,1.071,-0.984
Tyler Duncan,75,283.9,70.83,-0.648,47.62,73,69,70,75,287,0.967,1.017,0.609,-0.659
Justin Thomas,64.29,292.8,56.94,-1.237,64.52,73,73,71,71,288,1.305,0.404,0.889,0.012
Joel Dahmen,57.14,282.8,62.5,-0.001,40.74,73,71,73,71,288,0.07,-0.54,0.28,0.33
Maverick McNealy,57.14,286.3,58.33,1.797,63.33,74,71,70,73,288,-1.729,-1.259,-0.619,0.15
Nate Lashley,53.57,273.4,66.67,0.606,62.5,69,71,73,75,288,-0.538,-0.584,-0.409,0.455
Francesco Molinari,53.57,283.3,68.06,-0.241,65.22,73,71,68,76,288,0.31,-0.299,1.012,-0.403
Sepp Straka,62.5,288.1,66.67,-0.131,45.83,74,72,74,69,289,-0.051,-0.275,0.513,-0.288
Patton Kizzire,48.21,287.1,59.72,1.08,37.93,74,71,74,70,289,-1.261,-1.166,0.684,-0.779
Alex Smalley,64.29,296,58.33,-0.634,63.33,71,75,69,74,289,0.453,1.094,-0.703,0.062
Davis Thompson,55.36,302.9,51.39,1.143,60,70,73,69,79,291,-1.824,0.414,-2.276,0.038
Scott Stallings,57.14,295.9,50,0.839,61.11,71,74,72,75,292,-1.771,-1.084,-0.942,0.256
Taylor Pendrith,62.5,294,58.33,-0.828,50,67,73,72,80,292,-0.104,0.556,-0.829,0.17
Adam Scott,50,297,50,0.29,66.67,72,73,77,71,293,-1.472,0.211,-1.564,-0.118
Aaron Baddeley,55.36,269.5,52.78,-0.501,55.88,73,72,74,76,295,-1.18,-0.533,-0.769,0.122
Will Zalatoris,48.21,293,61.11,-1.691,50,74,71,74,77,296,-0.241,-0.513,0.349,-0.077
Sahith Theegala,60.71,295.4,51.39,-1.151,51.43,70,75,78,75,298,-1.281,0.146,-1.332,-0.094
Kevin Kisner,48.21,273.9,55.56,-0.255,50,72,73,73,81,299,-2.427,-1.916,-0.742,0.232
