PLAYER,Dacc,DD,GIR,SGpp,SCR,R1,R2,R3,R4,TOT,SGttg,SGott,SGapr,SGarg
Paul Casey,60.71,292.5,70.83,1.322,71.43,73,67,67,70,277,1.555,-0.142,1.106,0.591
James Hahn,60.71,293.9,73.61,0.095,57.89,76,67,74,69,286,0.531,-0.329,0.987,-0.126
Patrick Reed,60.71,286.1,68.06,0.925,52.17,70,72,70,71,283,0.452,0.227,-0.068,0.293
Rory Sabbatini,60.71,283.3,68.06,-1.069,43.48,69,75,74,74,292,0.195,-0.091,0.205,0.081
Justin Thomas,60.71,295.3,72.22,0.408,65,71,71,64,68,274,3.218,0.863,1.621,0.735
Will Zalatoris,60.71,306.8,75,0,44.44,70,71,70,71,282,1.626,0.559,1.154,-0.086
Tom Hoge,58.93,279.6,62.5,0.621,62.96,69,71,71,72,283,0.755,-0.341,1.04,0.057
Si Woo Kim,58.93,284.9,75,0.083,61.11,72,70,67,71,280,2.044,0.014,2.035,-0.005
Jason Kokrak,58.93,299.6,73.61,0.76,63.16,70,72,71,67,280,1.366,0.739,1.157,-0.53
Cameron Percy,58.93,279.6,72.22,0.468,55,73,70,73,68,284,0.659,0.44,0.163,0.056
Nick Taylor,58.93,289,66.67,-0.49,58.33,70,74,72,71,287,0.867,-0.286,1.204,-0.051
Jhonattan Vegas,58.93,291.1,61.11,0.054,57.14,73,71,72,74,290,-0.428,0.362,-0.524,-0.265
Tyler McCumber,57.14,302.8,68.06,0.242,65.22,72,69,72,70,283,1.134,1.06,0.322,-0.249
Louis Oosthuizen,57.14,290.3,69.44,0.591,59.09,73,69,74,70,286,0.035,-0.907,0.421,0.521
Ryan Palmer,57.14,288.8,70.83,0.994,76.19,70,72,68,71,281,0.882,0.531,0.494,-0.142
Keegan Bradley,55.36,294,65.28,0.579,60,70,72,73,69,284,0.547,-0.49,0.555,0.483
Harry Higgs,55.36,282,69.44,0.61,59.09,71,73,67,73,284,0.517,-0.038,0.665,-0.11
Dustin Johnson,55.36,303.3,62.5,1.04,55.56,73,70,73,71,287,-0.664,0.31,-0.977,0.004
Patrick Rodgers,55.36,304.4,59.72,0.667,55.17,74,70,73,74,291,-1.291,0.511,-1.518,-0.284
Brendan Steele,55.36,286.6,62.5,1.042,59.26,72,72,71,71,286,-0.416,0.036,-0.985,0.533
Scott Brown,53.57,288.4,61.11,1.084,57.14,71,70,72,77,290,-1.458,0.335,-0.743,-1.049
Bryson DeChambeau,53.57,302.8,69.44,0.944,68.18,69,69,67,71,276,2.182,0.458,1.285,0.439
Sergio Garcia,53.57,293.3,73.61,-0.095,73.68,65,72,71,72,280,2.222,-0.333,2.08,0.474
Zach Johnson,53.57,281.4,63.89,1.584,61.54,75,68,72,71,286,-0.958,0.06,-0.994,-0.023
Shane Lowry,53.57,291.3,73.61,0.513,73.68,68,74,69,68,279,1.863,0.175,0.747,0.942
Scott Piercy,53.57,284.9,65.28,-1.179,56,73,70,71,79,293,0.056,-0.867,0.351,0.572
Harold Varner III,53.57,304,75,-0.629,38.89,70,73,71,76,290,0.255,0.744,-0.3,-0.189
Scott Harrington,51.79,306.5,62.5,-0.246,66.67,72,71,77,70,290,-0.128,-0.164,-1.15,1.187
Nate Lashley,51.79,279.6,54.17,-0.021,54.55,74,69,75,76,294,-1.353,-1.171,-0.727,0.546
Lee Westwood,51.79,294.8,77.78,1.55,75,69,66,68,72,275,1.827,0.094,1.11,0.623
Jon Rahm,50,294.8,80.56,0.533,57.14,72,68,67,73,280,1.593,0.256,1.17,0.167
Aaron Wise,50,294,69.44,-0.47,54.55,73,71,72,75,291,-0.153,0.242,-0.726,0.33
Lanto Griffin,48.21,294.9,69.44,0.813,36.36,73,71,68,73,285,0.063,0.194,0.708,-0.839
Talor Gooch,46.43,295.8,66.67,1.012,62.5,71,68,71,67,277,1.864,-0.732,1.699,0.897
Joaquin Niemann,46.43,303.6,75,0.826,50,73,71,70,70,284,0.3,0.195,0.12,-0.015
